city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population_2019,is_last,order_for_place,place_type,state
Caraúbas do Piauí,2202539,27,460.1227,2020-06-26,0.0,0,5868.0,True,30,city,PI
Caridade do Piauí,2202554,9,177.61989,2020-06-26,0.0,0,5067.0,True,20,city,PI
Castelo do Piauí,2202604,20,101.44045,2020-06-26,0.0,0,19716.0,True,65,city,PI
Caxingó,2202653,27,497.78761,2020-06-26,0.0,0,5424.0,True,25,city,PI
Cocal,2202703,100,359.88052,2020-06-26,0.02,2,27787.0,True,54,city,PI
Cocal de Telha,2202711,28,572.48007,2020-06-26,0.0,0,4891.0,True,50,city,PI
Cocal dos Alves,2202729,2,32.50447,2020-06-26,0.0,0,6153.0,True,56,city,PI
Coivaras,2202737,27,671.64179,2020-06-26,0.0,0,4020.0,True,51,city,PI
Colônia do Gurguéia,2202752,4,61.69031,2020-06-26,0.25,1,6484.0,True,68,city,PI
Colônia do Piauí,2202778,11,143.67816,2020-06-26,0.0,0,7656.0,True,56,city,PI
Coronel José Dias,2202851,4,85.43358,2020-06-26,0.0,0,4682.0,True,5,city,PI
Corrente,2202901,38,142.62123,2020-06-26,0.0,0,26644.0,True,61,city,PI
Cristino Castro,2203107,9,86.3475,2020-06-26,0.1111,1,10423.0,True,35,city,PI
Curimatá,2203206,30,263.43519,2020-06-26,0.0,0,11388.0,True,39,city,PI
Currais,2203230,3,60.55713,2020-06-26,0.0,0,4954.0,True,51,city,PI
Curralinhos,2203255,12,270.08778,2020-06-26,0.0,0,4443.0,True,30,city,PI
Curral Novo do Piauí,2203271,2,37.43215,2020-06-26,0.0,0,5343.0,True,32,city,PI
Demerval Lobão,2203305,284,2055.43895,2020-06-26,0.007,2,13817.0,True,72,city,PI
Dirceu Arcoverde,2203354,33,470.68892,2020-06-26,0.0,0,7011.0,True,42,city,PI
Dom Expedito Lopes,2203404,33,477.98378,2020-06-26,0.0,0,6904.0,True,47,city,PI
Domingos Mourão,2203420,1,22.96211,2020-06-26,0.0,0,4355.0,True,35,city,PI
Dom Inocêncio,2203453,12,125.57555,2020-06-26,0.0,0,9556.0,True,40,city,PI
Elesbão Veloso,2203503,55,376.66073,2020-06-26,0.0545,3,14602.0,True,62,city,PI
Esperantina,2203701,353,888.34084,2020-06-26,0.0255,9,39737.0,True,71,city,PI
